customer_id,first,last,city,state,member
1402572,David,Wilson,Las Vegas,Nevada,FALSE
1402573,Sebastian,Turner,El Paso,Texas,FALSE
1402574,Oliver,Lopez,El Paso,Texas,FALSE
1402575,Gabriel,Li,New York City,New York,FALSE
1402576,James,Anderson,Nashville,Tennesee,FALSE
1402577,Gabriel,Thomas,Oklahoma City,Oklahoma,FALSE
1402578,Charles,Martin,Boston,Massachusetts,TRUE
1402579,Richard,Davis,Bronx,New York,TRUE
1402580,Charles,Collins,Denver,Colorado,FALSE
1402581,Robert,Evans,Montreal,Quebec,TRUE
1402582,Carter,Zhang,Oklahoma City,Oklahoma,FALSE
1402583,Charles,Ward,Phoenix,Arizona,TRUE
1402584,Hudson,Wang,Bronx,New York,FALSE
1402585,Lucas,Wang,Manhattan,New York,TRUE
1402586,Aiden,Moore,San Jose,California,FALSE
1402587,Joseph,Chu,San Diego,California,FALSE
1402588,Lincoln,Bailey,Seattle,Washington,FALSE
1402589,John,Scott,Las Vegas,Nevada,TRUE
1402590,Robert,Brown,Vancouver,British Columbia,FALSE
1402591,Anthony,Wilson,San Jose,California,FALSE
1402592,Jayden,Chen,Los Angeles,California,TRUE
1402593,Grayson,Wright,Houston,Texas,TRUE
1402594,Julian,Diaz,Tijuana,Baja California,FALSE
1402595,Julian,Hall,Philadelphia,Pennsylvania,TRUE
1402596,Hudson,Sanchez,León,Guanajuato,TRUE
1402597,Lucas,Richardson,Fort Worth,Texas,FALSE
1402598,Charles,Cloutier,Calgary,Alberta,FALSE
1402599,Luke,White,Phoenix,Arizona,TRUE
1402600,Luke,Tremblay,Toronto,Ontario,FALSE
1402601,Ethan,Taylor,Bronx,New York,FALSE
1402602,Lucas,Yao,Austin,Texas,TRUE
1402603,Richard,Morgan,Chicago,Illinois,TRUE
1402604,Gabriel,Thompson,Chicago,Illinois,TRUE
1402605,Aiden,Clark,Philadelphia,Pennsylvania,TRUE
1402606,Dylan,Smith,Los Angeles,California,FALSE
1402607,Luke,Richardson,Los Angeles,California,FALSE
1402608,Alexander,Nelson,San Francisco,California,TRUE
1402609,Sebastian,Richardson,Fort Worth,Texas,FALSE
1402610,Julian,Gupta,Bangalore,Karnataka,FALSE
1402611,Richard,Cooper,Denver,Colorado,TRUE
1402612,Luca,Smith,Toronto,Ontario,TRUE
1402613,Isaac,Gonzales,Chicago,Illinois,FALSE
1402614,Elias,Parker,Seattle,Washington,FALSE
1402615,Elias,Johnson,Denver,Colorado,FALSE
1402616,Alexander,Bergeron,Ottawa,Ontario,TRUE
1402617,Lucas,Ramirez,Tijuana,Baja California,FALSE
1402618,Lincoln,Stewart,Los Angeles,California,TRUE
1402619,James,Yang,Los Angeles,California,FALSE
1402620,Wyatt,Cooper,Philadelphia,Pennsylvania,FALSE
1402621,Elias,Mitchell,Columbus,Ohio,FALSE
1402622,Anthony,Gutierrez,Mexico City,Mexico City,FALSE
1402623,Thomas,Cook,El Paso,Texas,FALSE
1402624,Anthony,Torres,Manhattan,New York,TRUE
1402625,Jack,Lewis,San Antonio,Texas,TRUE
1402626,Lincoln,Allen,Columbus,Ohio,FALSE
1402627,James,Watson,San Antonio,Texas,FALSE
1402628,Charles,Hernandez,Mexico City,Mexico City,TRUE
1402629,Daniel,Robinson,Las Vegas,Nevada,TRUE
1402630,Jackson,Evans,Vancouver,British Columbia,FALSE
1402631,Logan,Girard,Vancouver,British Columbia,TRUE
1402632,Thomas,Allen,Chicago,Illinois,FALSE
1402633,Samuel,Ward,Bronx,New York,FALSE
1402634,Dylan,Allen,Nashville,Tennesee,FALSE
1402635,Michael,Reyes,Guadalajara,Jalisco,FALSE
1402636,Daniel,Yang,Boston,Massachusetts,FALSE
1402637,Wyatt,Jones,Toronto,Ontario,FALSE
1402638,Daniel,Walker,Las Vegas,Nevada,FALSE
1402639,Leo,Yang,Columbus,Ohio,FALSE
1402640,Aiden,Ortiz,León,Guanajuato,FALSE
1402641,Lucas,Shaan,Bangalore,Karnataka,FALSE
1402642,Robert,Jai,Delhi,Delhi,TRUE
1402643,Jacob,Jackson,Jacksonville,Florida,FALSE
1402644,Oliver,Rivera,Guadalajara,Jalisco,TRUE
1402645,Donna,Gutierrez,Tijuana,Baja California,TRUE
1402646,Mary,Phillips,Houston,Texas,FALSE
1402647,Amanda,Gomez,Dallas,Texas,TRUE
1402648,Janet,Green,San Antonio,Texas,FALSE
1402649,Carol,Cloutier,Montreal,Quebec,FALSE
1402650,Carol,Thomas,Boston,Massachusetts,TRUE
1402651,Kathleen,Gray,San Antonio,Texas,TRUE
1402652,Jennifer,Bennet,Phoenix,Arizona,TRUE
1402653,Amy,Robinson,Bronx,New York,TRUE
1402654,Kathleen,Campbell,San Diego,California,TRUE
1402655,Emily,Collins,Austin,Texas,TRUE
1402656,Amanda,Morgan,Phoenix,Arizona,FALSE
1402657,Karen,Liao,Bronx,New York,FALSE
1402658,Deborah,Torres,Guadalajara,Jalisco,FALSE
1402659,Sandra,Yao,Fort Worth,Texas,FALSE
1402660,Jennifer,Gomez,San Antonio,Texas,FALSE
1402661,Susan,Campbell,Calgary,Alberta,TRUE
1402662,Stephanie,Adams,Jacksonville,Florida,FALSE
1402663,Sarah,Kim,New York City,New York,FALSE
1402664,Katherine,Diaz,León,Guanajuato,FALSE
1402665,Nicole,Zhao,Fort Worth,Texas,FALSE
1402666,Jessica,Walker,Charlotte,North Carolina,FALSE
1402667,Brenda,Carter,Fort Worth,Texas,FALSE
1402668,Christine,Morgan,Nashville,Tennesee,TRUE
1402669,Karen,Rodriguez,Chicago,Illinois,FALSE
1402670,Dorothy,Mitchell,San Jose,California,FALSE
1402671,Catherine,Dutch,El Paso,Texas,TRUE
1402672,Patricia,Allen,Los Angeles,California,FALSE
1402673,Sharon,Torres,Mexico City,Mexico City,FALSE
1402674,Samantha,Nguyen,Philadelphia,Pennsylvania,TRUE
1402675,Heather,Jones,Toronto,Ontario,FALSE
1402676,Pamela,Taylor,Phoenix,Arizona,TRUE
1402677,Maria,Rodriguez,Columbus,Ohio,FALSE
1402678,Margaret,Morgan,San Jose,California,FALSE
1402679,Kathleen,Devi,Bangalore,Karnataka,FALSE
1402680,Patricia,Nguyen,Charlotte,North Carolina,FALSE
1402681,Ashley,Perez,León,Guanajuato,FALSE
1402682,Rachel,Torres,Queens,New York,TRUE
1402683,Sharon,Lewis,Austin,Texas,TRUE
1402684,Emily,Hernandez,Puebla,Puebla,FALSE
1402685,Margaret,Scott,New York City,New York,FALSE
1402686,Katherine,Torres,Chicago,Illinois,FALSE
1402687,Debra,Collins,Fort Worth,Texas,FALSE
1402688,Shirley,Perez,León,Guanajuato,FALSE
1402689,Dorothy,Collins,Phoenix,Arizona,TRUE
1402690,Nicole,Jackson,San Antonio,Texas,FALSE
1402691,Lisa,Thomas,Las Vegas,Nevada,TRUE
1402692,Karen,Rogers,Fort Worth,Texas,FALSE
1402693,Margaret,Stewart,Brooklyn,New York,FALSE
1402694,Karen,Tanaka,Kyoto,Kansai,TRUE
1402695,Shirley,Chang,Chicago,Illinois,FALSE
1402696,Jessica,Wang,El Paso,Texas,FALSE
1402697,Amy,Rivera,Puebla,Puebla,FALSE
1402698,Kathleen,Robinson,Fort Worth,Texas,TRUE
1402699,Ashley,Martin,San Jose,California,FALSE
1402700,Mary,Rodriguez,Boston,Massachusetts,TRUE
1402701,Patricia,Nguyen,San Antonio,Texas,FALSE
1402702,Deborah,Tanaka,Kobe,Kansai,FALSE
1402703,Susan,Sharma,Delhi,Delhi,TRUE
1402704,Nicole,Bennet,Denver,Colorado,FALSE
1402705,Dorothy,Martinez,Puebla,Puebla,FALSE
1402706,Nancy,Brown,Vancouver,British Columbia,TRUE
1402707,Diane,Kim,Nashville,Tennesee,FALSE
1402708,Rebecca,Dutch,El Paso,Texas,TRUE
1402709,Emily,Yao,Phoenix,Arizona,FALSE
1402710,Susan,Zhang,Phoenix,Arizona,TRUE
1402711,Debra,Wright,Indianapolis,Indiana,FALSE
1402712,Carol,Martin,Phoenix,Arizona,FALSE
1402713,Katherine,Kumar,Bangalore,Karnataka,FALSE
1402714,Janet,Hernandez,Guadalajara,Jalisco,TRUE
1402715,Linda,Hill,Brooklyn,New York,FALSE
1402716,Margaret,Gutierrez,Guadalajara,Jalisco,FALSE
1402717,Amanda,Green,Chicago,Illinois,TRUE
1402718,Laura,Cloutier,Ottawa,Ontario,FALSE
1402719,Brenda,Johnson,Bronx,New York,FALSE
1402720,Jessica,Morgan,Columbus,Ohio,TRUE
1402721,Dorothy,Tremblay,Toronto,Ontario,FALSE
1402722,Kathleen,Gomez,Tijuana,Baja California,FALSE
1402723,Katherine,Devi,Bangalore,Karnataka,TRUE
1402724,Emily,Mitchell,Phoenix,Arizona,FALSE
1402725,Kathleen,Ortiz,León,Guanajuato,TRUE
1402726,Amy,Kim,Manhattan,New York,TRUE
1402727,Shirley,Flores,Fort Worth,Texas,FALSE
1402728,Linda,Gonzales,Tijuana,Baja California,FALSE
1402729,Brenda,Bennet,Phoenix,Arizona,FALSE
1402730,Patricia,Zhao,Queens,New York,TRUE
1402731,Margaret,Miller,Manhattan,New York,FALSE
1402732,Betty,Davis,Austin,Texas,FALSE
1402733,Melissa,Cooper,Jacksonville,Florida,TRUE
1402734,Christine,Wang,Oklahoma City,Oklahoma,TRUE
1402735,Amanda,Lewis,Jacksonville,Florida,FALSE
1402736,Cynthia,Hernandez,El Paso,Texas,FALSE
1402737,Linda,Kim,Philadelphia,Pennsylvania,TRUE
1402738,Kathleen,Green,Columbus,Ohio,FALSE
1402739,Brenda,Takahashi,Yokohama,Kantō,FALSE
1402740,Julie,Moore,Chicago,Illinois,TRUE
1402741,Jessica,Li,Philadelphia,Pennsylvania,FALSE
1402742,Helen,Ward,Fort Worth,Texas,FALSE
1402743,Elizabeth,Wu,Manhattan,New York,FALSE
1402744,Laura,Zhang,Phoenix,Arizona,TRUE
1402745,Catherine,Watson,El Paso,Texas,TRUE
1402746,Samantha,Davis,Seattle,Washington,FALSE
1402747,Julie,Sanchez,Tijuana,Baja California,TRUE
1402748,Owen,Stewart,Queens,New York,FALSE
1402749,Hudson,Johnson,Montreal,Quebec,FALSE
1402750,Wyatt,Peterson,New York City,New York,TRUE
1402751,Lincoln,Chu,Chicago,Illinois,TRUE
1402752,Luca,Mitchell,Nashville,Tennesee,TRUE
1402753,Sebastian,Gray,San Diego,California,FALSE
1402754,Luca,Anderson,Montreal,Quebec,FALSE
1402755,Luca,Yao,Fort Worth,Texas,TRUE
1402756,Michael,Murphy,Jacksonville,Florida,FALSE
1402757,Henry,Evans,Vancouver,British Columbia,TRUE
1402758,Carter,Bennet,Nashville,Tennesee,FALSE
1402759,Joseph,Thomas,Los Angeles,California,FALSE
1402760,Dylan,Bailey,Boston,Massachusetts,FALSE
1402761,Gabriel,Martinez,Mexico City,Mexico City,TRUE
1402762,Noah,Yao,Dallas,Texas,FALSE
1402763,Alexander,Tanaka,Yokohama,Kantō,TRUE
1402764,Samuel,Edwards,Las Vegas,Nevada,FALSE
1402765,Matthew,Brown,San Jose,California,FALSE
1402766,William,Gomez,Tijuana,Baja California,FALSE
1402767,James,Banerjee,Mumbai,Maharashtra,FALSE
1402768,Isaac,Scott,Dallas,Texas,TRUE
1402769,Elias,Taylor,Columbus,Ohio,FALSE
1402770,Joseph,Chan,Denver,Colorado,TRUE
1402771,Isaac,Morales,León,Guanajuato,TRUE
1402772,Gabriel,Dutch,Brooklyn,New York,TRUE
1402773,Jayden,Baker,Los Angeles,California,TRUE
1402774,Lincoln,Roberts,Austin,Texas,FALSE
1402775,Luke,Adams,San Jose,California,FALSE
1402776,Jack,Williams,Calgary,Alberta,FALSE
1402777,Luke,Evans,Ottawa,Ontario,TRUE
1402778,Logan,Hernandez,San Francisco,California,TRUE
1402779,Robert,Evans,Halifax,Nova Scotia,TRUE
1402780,Carter,Liao,San Antonio,Texas,FALSE
1402781,Julian,Baker,Nashville,Tennesee,FALSE
1402782,Josiah,Brown,Montreal,Quebec,FALSE
1402783,Owen,Lee,Charlotte,North Carolina,FALSE
1402784,Logan,Thompson,San Francisco,California,TRUE
1402785,Logan,Collins,Oklahoma City,Oklahoma,FALSE
1402786,Jacob,Li,New York City,New York,FALSE
1402787,Dylan,Gonzales,Houston,Texas,FALSE
1402788,Charles,Williams,Calgary,Alberta,FALSE
1402789,Matthew,Singh,Mumbai,Maharashtra,TRUE
1402790,Daniel,Girard,Halifax,Nova Scotia,TRUE
1402791,Jayden,Agarwal,Bangalore,Karnataka,FALSE
1402792,William,Harris,New York City,New York,TRUE
1402793,Grayson,Richardson,El Paso,Texas,TRUE
1402794,Carter,Baker,Los Angeles,California,FALSE
1402795,Luca,Zhang,Indianapolis,Indiana,FALSE
1402796,Jacob,Jai,Bangalore,Karnataka,FALSE
1402797,Richard,Gray,Jacksonville,Florida,FALSE
1402798,Josiah,Johnson,Columbus,Ohio,TRUE
1402799,Wyatt,Brown,Oklahoma City,Oklahoma,FALSE
1402800,Richard,Yang,Nashville,Tennesee,TRUE
1402801,Charles,Stewart,San Diego,California,TRUE
1402802,Owen,Gupta,Delhi,Delhi,TRUE
1402803,Gabriel,Williams,Phoenix,Arizona,FALSE
1402804,Charles,Bennet,Brooklyn,New York,FALSE
1402805,Joseph,Evans,Las Vegas,Nevada,TRUE
1402806,Samuel,Yao,Seattle,Washington,FALSE
1402807,Dylan,Baker,Queens,New York,TRUE
1402808,Noah,Wilson,Jacksonville,Florida,FALSE
1402809,Gabriel,Martin,Los Angeles,California,TRUE
1402810,Matthew,Ward,San Francisco,California,TRUE
1402811,Sebastian,Thomas,Jacksonville,Florida,FALSE
1402812,Thomas,Zhao,Charlotte,North Carolina,FALSE
1402813,Isaac,Tanaka,Yokohama,Kantō,TRUE
1402814,Jayden,Ito,Osaka,Kansai,FALSE
1402815,Hudson,Peterson,Fort Worth,Texas,FALSE
1402816,Jack,Rodriguez,Columbus,Ohio,FALSE
1402817,Carter,Chan,Boston,Massachusetts,FALSE
1402818,Charles,Bailey,Denver,Colorado,TRUE
1402819,Aiden,Liao,Nashville,Tennesee,TRUE
1402820,Hudson,Watson,Queens,New York,FALSE
1402821,Anthony,Zhang,El Paso,Texas,FALSE
1402822,Lucas,Diaz,León,Guanajuato,FALSE
1402823,Richard,Moore,Chicago,Illinois,FALSE
1402824,Wyatt,Garcia,Tijuana,Baja California,TRUE
1402825,Julian,Adams,Dallas,Texas,TRUE
1402826,William,Nguyen,San Francisco,California,FALSE
1402827,Jacob,Scott,Denver,Colorado,TRUE
1402828,Lucas,Kim,Jacksonville,Florida,TRUE
1402829,Elias,Young,Columbus,Ohio,FALSE
1402830,Thomas,Nelson,Queens,New York,TRUE
1402831,Thomas,Johnson,Halifax,Nova Scotia,TRUE
1402832,Elias,Chang,Dallas,Texas,FALSE
1402833,Michael,Moore,Columbus,Ohio,TRUE
1402834,Julian,Anderson,Phoenix,Arizona,FALSE
1402835,Leo,Hall,Denver,Colorado,TRUE
1402836,Ethan,Collins,Charlotte,North Carolina,TRUE
1402837,Charles,Torres,Phoenix,Arizona,FALSE
1402838,Henry,Martinez,Charlotte,North Carolina,FALSE
1402839,Alexander,Smith,Toronto,Ontario,TRUE
1402840,John,Dutch,San Francisco,California,FALSE
1402841,Aiden,Ramirez,Tijuana,Baja California,FALSE
1402842,John,Phillips,Nashville,Tennesee,FALSE
1402843,William,Jones,Halifax,Nova Scotia,FALSE
1402844,Hudson,Adams,San Jose,California,FALSE
1402845,Michael,King,Indianapolis,Indiana,FALSE
1402846,Elias,Rogers,Jacksonville,Florida,FALSE
1402847,Luca,Smith,Ottawa,Ontario,FALSE
1402848,Thomas,Reyes,Guadalajara,Jalisco,FALSE
1402849,Luke,Reyes,Mexico City,Mexico City,FALSE
1402850,David,Johnson,El Paso,Texas,TRUE
1402851,Hudson,Garcia,Mexico City,Mexico City,TRUE
1402852,Julian,Jackson,San Jose,California,TRUE
1402853,Christopher,King,Austin,Texas,FALSE
1402854,Anthony,Smith,Vancouver,British Columbia,FALSE
1402855,Luca,Gonzales,El Paso,Texas,TRUE
1402856,Grayson,Gomez,San Francisco,California,FALSE
1402857,Robert,Thompson,Seattle,Washington,TRUE
1402858,Daniel,White,Manhattan,New York,FALSE
1402859,Hudson,Chan,New York City,New York,TRUE
1402860,Jayden,Turner,Nashville,Tennesee,FALSE
1402861,Luca,Parker,Indianapolis,Indiana,FALSE
1402862,Sebastian,Jones,Calgary,Alberta,FALSE
1402863,Leo,Scott,Houston,Texas,FALSE
1402864,Owen,Rodriguez,Nashville,Tennesee,TRUE
1402865,Jackson,Li,Houston,Texas,TRUE
1402866,Dylan,Scott,Brooklyn,New York,TRUE
1402867,Lincoln,Gomez,Indianapolis,Indiana,TRUE
1402868,Aiden,Gomez,Puebla,Puebla,TRUE
1402869,Julian,Harris,Fort Worth,Texas,FALSE
1402870,Hudson,Parker,San Diego,California,FALSE
1402871,Henry,Allen,Las Vegas,Nevada,TRUE
1402872,Charles,Johnson,Calgary,Alberta,TRUE
1402873,Lincoln,Chu,Seattle,Washington,TRUE
1402874,Dylan,Williams,Calgary,Alberta,TRUE
1402875,Josiah,Moore,Boston,Massachusetts,FALSE
1402876,Charles,Martin,Manhattan,New York,TRUE
1402877,Hudson,Hill,Jacksonville,Florida,TRUE
1402878,Lincoln,Rivera,León,Guanajuato,FALSE
1402879,Leo,Torres,Guadalajara,Jalisco,FALSE
1402880,Grayson,Martinez,Columbus,Ohio,FALSE
1402881,Jacob,King,Chicago,Illinois,FALSE
1402882,Gabriel,Harris,Philadelphia,Pennsylvania,TRUE
1402883,David,Chang,Houston,Texas,FALSE
1402884,Julian,Wright,Oklahoma City,Oklahoma,FALSE
1402885,Jack,Morales,Puebla,Puebla,FALSE
1402886,Owen,Perez,León,Guanajuato,FALSE
1402887,John,Zhao,Chicago,Illinois,TRUE
1402888,William,Chan,San Jose,California,FALSE
1402889,Julian,Taylor,Jacksonville,Florida,FALSE
1402890,Michael,Johnson,Indianapolis,Indiana,FALSE
1402891,Noah,Watson,Phoenix,Arizona,TRUE
1402892,William,Gonzales,Dallas,Texas,TRUE
1402893,Henry,Harris,Seattle,Washington,FALSE
1402894,Julian,Parker,Columbus,Ohio,FALSE
1402895,Gabriel,Anderson,Halifax,Nova Scotia,TRUE
1402896,Leo,White,Dallas,Texas,FALSE
1402897,Samuel,Gomez,Mexico City,Mexico City,TRUE
1402898,Robert,Williams,El Paso,Texas,TRUE
1402899,Carter,Jackson,Chicago,Illinois,FALSE
1402900,Diane,Wu,Los Angeles,California,TRUE
1402901,Betty,Brown,Columbus,Ohio,FALSE
1402902,Nicole,Hernandez,Manhattan,New York,FALSE
1402903,Rebecca,Ortiz,Puebla,Puebla,TRUE
1402904,Nancy,Wang,Chicago,Illinois,FALSE
1402905,Emma,Watson,San Diego,California,FALSE
1402906,Katherine,Nelson,San Francisco,California,TRUE
1402907,Heather,Yao,Charlotte,North Carolina,FALSE
1402908,Jennifer,Girard,Calgary,Alberta,FALSE
1402909,Pamela,Gomez,Chicago,Illinois,FALSE
1402910,Emily,Nguyen,Queens,New York,TRUE
1402911,Nancy,Gutierrez,Tijuana,Baja California,FALSE
1402912,Helen,Allen,El Paso,Texas,FALSE
1402913,Julie,Wilson,Bronx,New York,FALSE
1402914,Angela,Carter,Queens,New York,FALSE
1402915,Mary,Martin,Chicago,Illinois,TRUE
1402916,Cynthia,Chu,Columbus,Ohio,FALSE
1402917,Rebecca,Lopez,Oklahoma City,Oklahoma,TRUE
1402918,Diane,Williams,Halifax,Nova Scotia,TRUE
1402919,Shirley,Campbell,Jacksonville,Florida,FALSE
1402920,Samantha,Gonzales,Las Vegas,Nevada,FALSE
1402921,Nicole,Tanaka,Kyoto,Kansai,FALSE
1402922,Catherine,Roberts,Las Vegas,Nevada,FALSE
1402923,Christine,Torres,Phoenix,Arizona,TRUE
1402924,Pamela,Peterson,Austin,Texas,FALSE
1402925,Lisa,Chan,Phoenix,Arizona,FALSE
1402926,Sarah,Johnson,Denver,Colorado,FALSE
1402927,Sarah,Evans,Ottawa,Ontario,TRUE
1402928,Sharon,Clark,Seattle,Washington,TRUE
1402929,Anna,Anderson,Houston,Texas,FALSE
1402930,Melissa,Phillips,New York City,New York,FALSE
1402931,Samantha,Thomas,Fort Worth,Texas,FALSE
1402932,Mary,Dutch,Oklahoma City,Oklahoma,FALSE
1402933,Emily,Dutch,Indianapolis,Indiana,FALSE
1402934,Angela,Chen,San Jose,California,FALSE
1402935,Karen,Stewart,Philadelphia,Pennsylvania,FALSE
1402936,Michelle,Torres,Mexico City,Mexico City,FALSE
1402937,Melissa,Stewart,Columbus,Ohio,TRUE
1402938,Anna,Agarwal,Mumbai,Maharashtra,FALSE
1402939,Catherine,Tremblay,Halifax,Nova Scotia,TRUE
1402940,Helen,Parker,Seattle,Washington,FALSE
1402941,Amanda,Young,Austin,Texas,FALSE
1402942,Sharon,Morales,Mexico City,,FALSE
1402943,Ruth,Chen,Bronx,New York,TRUE
1402944,Sarah,Lopez,San Antonio,Texas,FALSE
1402945,Carol,Johnson,Calgary,Alberta,TRUE
1402946,Mary,Gonzales,Los Angeles,California,FALSE
1402947,Rachel,Jackson,Austin,Texas,TRUE
1402948,Cynthia,Thompson,Indianapolis,Indiana,FALSE
1402949,Deborah,Gutierrez,León,Guanajuato,FALSE
1402950,Brenda,Young,San Jose,California,FALSE
1402951,Karen,Hernandez,Oklahoma City,Oklahoma,FALSE
1402952,Cynthia,Wilson,Bronx,New York,TRUE
1402953,Amanda,Yao,Denver,Colorado,FALSE
1402954,Katherine,Brown,San Antonio,Texas,FALSE
1402955,Laura,Roberts,Nashville,Tennesee,TRUE
1402956,Barbara,Perez,León,Guanajuato,FALSE
1402957,Helen,Adams,Fort Worth,Texas,FALSE
1402958,Sarah,Jones,Montreal,Quebec,TRUE
1402959,Jessica,Thompson,Denver,Colorado,FALSE
1402960,Shirley,Williams,Calgary,Alberta,FALSE
1402961,Cynthia,Hill,San Antonio,Texas,FALSE
1402962,Kimberly,Brown,Vancouver,British Columbia,FALSE
1402963,Sharon,Campbell,Toronto,Ontario,FALSE
1402964,Samantha,Agarwal,Delhi,Delhi,FALSE
1402965,Stephanie,Kim,San Jose,California,TRUE
1402966,Debra,Williams,Phoenix,Arizona,TRUE
1402967,Maria,Taylor,Columbus,Ohio,TRUE
1402968,Kathleen,Evans,San Francisco,California,FALSE
1402969,Cynthia,Bergeron,Vancouver,BC,FALSE
1402970,Carolyn,Tanaka,Tokyo,Kantō,FALSE
1402971,Margaret,Lewis,Manhattan,NY,FALSE
1402972,Betty,Chen,Charlotte,North Carolina,TRUE
1402973,Jessica,Thompson,Brooklyn,New York,TRUE
1402974,Cynthia,Baker,San Jose,California,FALSE
1402975,Angela,Chen,El Paso,Texas,FALSE
1402976,Lisa,Collins,Manhattan,New York,FALSE
1402977,Kathleen,Ortiz,Guadalajara,Jalisco,FALSE
1402978,Sarah,Chen,Fort Worth,Texas,TRUE
1402979,Amanda,Lewis,Dallas,Texas,FALSE
1402980,Sharon,Wright,Oklahoma City,Oklahoma,FALSE
1402981,Nancy,Gomez,Puebla,Puebla,TRUE
1402982,Anna,Thompson,Indianapolis,Indiana,TRUE
1402983,Jessica,Bennet,San Jose,California,TRUE
1402984,Linda,Morales,Puebla,Puebla,FALSE
1402985,Kimberly,Chan,Seattle,Washington,FALSE
1402986,Sandra,Girard,Vancouver,,TRUE
1402987,Linda,Gray,Charlotte,North Carolina,TRUE
1402988,Matthew,Rodriguez,New York City,New York,FALSE
1402989,Cynthia,Gaboury,Halifax,Nova Scotia,TRUE
1402990,John,Smith,Montreal,Quebec,FALSE
1402991,Cynthia,Williams,Toronto,Ontario,TRUE
1402992,Dorothy,Rivera,Puebla,Puebla,TRUE
1402993,Ruth,Gutierrez,Los Angeles,California,FALSE
1402994,Henry,Williams,Nashville,Tennesee,FALSE
1402995,Lisa,Nguyen,Ottawa,Ontario,TRUE
1402996,Jack,Kumar,Mumbai,Maharashtra,TRUE
1402997,Josiah,Evans,Calgary,Alberta,FALSE
1402998,Daniel,White,Columbus,Ohio,FALSE
1402999,Oliver,Anderson,Denver,Colorado,TRUE
1403000,Kimberly,Campbell,Dallas,Texas,FALSE
1403001,Laura,L,Charlotte,North Carolina,FALSE
1403002,Jayden,Martinez,Puebla,Puebla,TRUE
1403003,Wyatt,Wang,Houston,Texas,FALSE
1403004,Sharon,Moore,Manhattan,New York,FALSE
1403005,Gabriel,Taylor,Chicago,Illinois,FALSE
1403006,Grayson,Gonzales,Tijuana,Baja California,FALSE
1403007,Dorothy,Jones,Montreal,Quebec,TRUE
1403008,Mary,Allen,Columbus,Ohio,TRUE
1403009,Carol,Hall,San Antonio,Texas,TRUE
1403010,Emily,Thomas,Manhattan,New York,TRUE
1403011,Jack,Zhang,Los Angeles,California,TRUE
1403012,William,Collins,Columbus,Ohio,FALSE
1403013,Isaac,Watson,San Diego,California,FALSE
